Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p20_5.txt	100	10	20	TimeLimit	5207.280606985092	B	993.0	1320.0	2313.0	17.0	588.0	0.5545454545454546
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_1.txt	50	5	3	Optimal	36.42844915390015	B	129.0	152.0	281.0	893.0	152.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_2.txt	50	5	5	Optimal	341.35578989982605	B	231.0	266.0	497.0	2697.0	266.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_3.txt	50	5	10	Optimal	170.88258504867554	B	462.0	561.0	1023.0	1194.0	561.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_4.txt	50	5	15	Optimal	1111.6427829265594	B	719.0	801.0	1520.0	2659.0	801.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_5.txt	50	5	20	TimeLimit	11921.800714969635	B	798.0	1052.0	1850.0	301.0	865.0	0.17775665399239543
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p3_1.txt	50	5	3	Optimal	94.65775489807129	B	138.0	152.0	290.0	1417.0	152.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p3_2.txt	50	5	5	Optimal	168.46573114395142	B	260.0	278.0	538.0	1074.0	278.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p3_3.txt	50	5	10	Optimal	682.8104300498962	B	502.0	583.0	1085.0	22504.0	583.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p3_5.txt	50	5	20	TimeLimit	56455.37371683121	B	781.0	1118.0	1899.0	1334.0	969.0	0.13327370304114491
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p4_1.txt	50	5	3	Optimal	120.20891380310059	B	142.0	162.0	304.0	1801.0	162.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p4_2.txt	50	5	5	Optimal	196.05827593803406	B	208.0	262.0	470.0	842.0	262.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p4_3.txt	50	5	10	Optimal	199.3561508655548	B	515.0	574.0	1089.0	2519.0	574.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p4_4.txt	50	5	15	Optimal	815.593836069107	B	730.0	861.0	1591.0	1653.0	861.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p4_5.txt	50	5	20	Optimal	1888.827449798584	B	990.0	1107.0	2097.0	2287.0	1107.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p5_1.txt	50	5	3	Optimal	170.6881411075592	B	143.0	169.0	312.0	1586.0	169.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p5_2.txt	50	5	5	Optimal	762.537132024765	B	241.0	276.0	517.0	5122.0	276.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p5_3.txt	50	5	10	Optimal	954.3198409080505	B	471.0	573.0	1044.0	2557.0	573.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p5_4.txt	50	5	15	Optimal	437.69194507598877	B	737.0	855.0	1592.0	1065.0	855.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p5_5.txt	50	5	20	TimeLimit	3600.0073239803314	B	891.0	1148.0	2039.0	724.0	918.0	0.20034843205574912
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p6_1.txt	50	5	3	Optimal	163.66991305351257	B	162.0	162.0	324.0	2615.0	162.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p6_2.txt	50	5	5	Optimal	741.0871169567108	B	206.0	275.0	481.0	4114.0	275.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p6_3.txt	50	5	10	Optimal	3151.581531047821	B	518.0	665.0	1183.0	1982.0	665.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p6_4.txt	50	5	15	Optimal	1542.6257638931274	B	741.0	853.0	1594.0	2601.0	853.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p6_5.txt	50	5	20	TimeLimit	62631.59400701523	B	899.0	1199.0	2098.0	258.0	853.0	0.2885738115095913
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p7_1.txt	50	5	3	Optimal	75.77428007125854	B	131.0	147.0	278.0	3227.0	147.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p7_2.txt	50	5	5	Optimal	125.28257489204407	B	197.0	240.0	437.0	1211.0	240.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p7_3.txt	50	5	10	Optimal	97.86674904823303	B	434.0	545.0	979.0	4544.0	545.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p7_4.txt	50	5	15	Optimal	449.7184669971466	B	642.0	765.0	1407.0	1135.0	765.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p7_5.txt	50	5	20	TimeLimit	32934.29073405266	B	944.0	1048.0	1992.0	856.0	951.0	0.09255725190839695
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p8_1.txt	50	5	3	Optimal	112.59626698493958	B	134.0	150.0	284.0	1959.0	150.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p8_2.txt	50	5	5	Optimal	191.1744990348816	B	230.0	266.0	496.0	1146.0	266.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p8_3.txt	50	5	10	TimeLimit	3600.029016017914	B	616.0	640.0	1256.0	225987.0	636.0	0.00625
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p8_4.txt	50	5	15	Optimal	516.4764099121094	B	750.0	793.0	1543.0	880.0	793.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p8_5.txt	50	5	20	TimeLimit	3600.007117986679	B	978.0	1079.0	2057.0	2372.0	1032.0	0.04355885078776645
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p9_1.txt	50	5	3	Optimal	138.55061388015747	B	141.0	149.0	290.0	1499.0	149.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p9_2.txt	50	5	5	Optimal	232.1153290271759	B	218.0	244.0	462.0	1609.0	244.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p9_3.txt	50	5	10	Optimal	402.57010412216187	B	498.0	546.0	1044.0	2151.0	546.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p9_4.txt	50	5	15	TimeLimit	4411.716987848282	B	650.0	865.0	1515.0	391.0	597.0	0.30982658959537573
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p9_5.txt	50	5	20	TimeLimit	29906.153083086014	B	891.0	1034.0	1925.0	786.0	864.0	0.1644100580270793
