Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p20_5.txt	100	10	20	TimeLimit	5408.820468902588	A	491.0	2123.0	2614.0	158.0	420.0	0.1446028513238289
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_1.txt	50	5	3	Optimal	11.193129062652588	A	98.0	288.0	386.0	261.0	98.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_2.txt	50	5	5	Optimal	59.976694107055664	A	178.0	529.0	707.0	408.0	178.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_3.txt	50	5	10	Optimal	29.821453094482422	A	366.0	910.0	1276.0	112.0	366.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_4.txt	50	5	15	Optimal	185.40743207931519	A	538.0	1410.0	1948.0	169.0	538.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_5.txt	50	5	20	Optimal	2555.138361930847	A	664.0	1876.0	2540.0	492.0	664.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p3_1.txt	50	5	3	Optimal	24.05684804916382	A	100.0	297.0	397.0	119.0	100.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p3_2.txt	50	5	5	Optimal	45.61574387550354	A	178.0	512.0	690.0	366.0	178.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p3_3.txt	50	5	10	Optimal	46.85760807991028	A	460.0	979.0	1439.0	79.0	460.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p3_4.txt	50	5	15	Optimal	57.8404700756073	A	466.0	1550.0	2016.0	85.0	466.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p3_5.txt	50	5	20	Optimal	1501.4465429782867	A	713.0	1736.0	2449.0	730.0	713.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p4_1.txt	50	5	3	Optimal	9.055416822433472	A	101.0	318.0	419.0	42.0	101.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p4_2.txt	50	5	5	Optimal	26.74786686897278	A	158.0	495.0	653.0	86.0	158.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p4_3.txt	50	5	10	Optimal	102.73414707183838	A	424.0	1004.0	1428.0	168.0	424.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p4_4.txt	50	5	15	Optimal	119.90793919563293	A	525.0	1580.0	2105.0	184.0	525.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p4_5.txt	50	5	20	TimeLimit	3600.0078659057617	A	739.0	1881.0	2620.0	1435.0	734.0000000000396	0.006765899864628467
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p5_1.txt	50	5	3	Optimal	22.875890970230103	A	99.0	341.0	440.0	57.0	99.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p5_2.txt	50	5	5	Optimal	26.758116960525513	A	148.0	525.0	673.0	121.0	148.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p5_3.txt	50	5	10	Optimal	44.96966886520386	A	362.0	1023.0	1385.0	96.0	362.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p5_4.txt	50	5	15	Optimal	105.82418394088745	A	484.0	1442.0	1926.0	64.0	484.0	0.0
