Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea45_4_1.txt	45	4	4	Optimal	20.73857617378235	A	117.0	181.0	298.0	491.0	117.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea45_4_2.txt	45	4	9	Optimal	10.74541711807251	A	254.0	464.0	718.0	34.0	254.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea45_9_1.txt	45	9	4	Optimal	0.6380579471588135	A	124.0	170.0	294.0	1.0	124.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea45_9_2.txt	45	9	9	Optimal	7.416026830673218	A	226.0	401.0	627.0	15.0	226.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea50_10_1.txt	50	10	5	Optimal	1104.8655979633331	A	113.0	220.0	333.0	22570.0	113.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea50_10_2.txt	50	10	10	Optimal	824.2485909461975	A	240.0	480.0	720.0	2785.0	240.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea50_16_1.txt	50	16	5	Optimal	4.826013088226318	A	96.0	206.0	302.0	1.0	96.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea50_16_2.txt	50	16	10	Optimal	58.324095010757446	A	210.0	439.0	649.0	118.0	210.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea50_5_1.txt	50	5	5	Optimal	209.0640149116516	A	147.0	258.0	405.0	633.0	147.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea50_5_2.txt	50	5	10	Optimal	1104.692885875702	A	320.0	471.0	791.0	2435.0	320.0	0.0
